UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
1,L,297.0,306.4,1678,27.8,120,0
2,H,297.7,307.4,1539,33.8,138,0
3,M,300.8,309.7,1655,21.3,242,0
4,L,297.7,306.8,1356,39.3,102,0
5,L,302.2,312.7,1563,45.9,88,0
6,L,299.9,310.0,1412,26.5,237,0
7,L,300.2,310.7,1319,40.2,102,0
8,M,299.4,309.7,1383,32.0,250,0
9,M,301.5,312.3,1440,46.7,23,0
10,M,301.6,312.4,1760,16.9,21,0
11,L,300.7,308.9,1435,47.1,170,0
12,H,301.1,310.3,1310,21.8,178,0
13,M,299.6,309.3,1561,37.9,239,0
14,L,301.1,311.1,1543,32.9,176,0
15,L,299.3,308.7,1449,36.4,121,0
16,L,300.0,310.9,1509,24.7,237,0
17,L,299.5,311.4,1712,56.6,119,0
18,L,299.1,309.3,1658,27.1,21,0
19,L,298.6,308.7,1642,27.9,78,0
20,L,300.9,311.8,1326,57.9,17,0
21,M,302.6,310.8,2054,43.2,43,0
22,L,302.3,312.4,1726,27.5,108,0
23,L,297.5,308.5,1630,38.7,31,0
24,L,302.6,311.9,1329,37.6,185,0
25,L,299.4,308.1,1707,23.1,55,0
26,M,301.2,311.0,1448,32.4,227,0
27,L,298.2,308.1,1503,39.7,73,0
28,L,300.3,309.4,1237,52.7,8,0
29,L,300.6,312.7,1315,38.1,190,0
30,L,297.0,306.6,1616,38.9,235,0
31,M,301.2,310.1,1718,31.8,88,0
32,L,302.7,312.6,1660,51.0,120,0
33,L,299.7,310.6,1654,49.0,131,0
34,H,302.7,312.7,1526,47.9,37,0
35,H,299.6,310.1,1465,41.1,237,0
36,M,301.7,310.8,1589,24.0,99,0
37,L,295.6,307.1,1685,50.9,249,0
38,L,304.8,315.4,1538,40.6,41,0
39,M,303.0,314.0,1754,36.9,228,0
40,L,299.4,309.8,1499,44.5,230,0
41,L,296.1,306.9,1362,42.2,134,0
42,L,300.6,309.7,1536,29.3,169,0
43,L,297.1,306.6,1556,36.8,117,0
44,H,300.9,312.2,1523,21.0,59,0
45,L,300.8,312.4,1767,40.9,89,0
46,M,298.1,307.0,1682,53.3,147,0
47,L,302.2,312.5,1281,22.0,190,0
48,L,301.6,311.2,1812,41.3,236,0
49,L,302.0,311.3,1047,46.7,123,0
50,L,300.0,310.3,1923,48.2,124,0
51,H,297.2,308.3,1486,32.5,110,0
52,M,302.0,312.4,1504,29.0,20,0
53,H,299.5,309.1,1527,34.1,126,0
54,M,297.2,307.7,1606,51.9,132,0
55,L,302.7,312.3,1537,22.9,120,0
56,H,304.2,314.6,1514,27.8,29,0
57,L,299.9,311.3,1772,35.4,62,0
58,L,304.3,312.2,1639,30.2,239,0
59,L,300.2,311.0,1366,39.6,186,0
60,L,299.2,307.7,1670,54.1,37,0
61,L,298.7,310.0,1631,28.0,163,0
62,L,303.3,312.6,1440,38.5,37,0
63,M,298.4,307.2,1679,39.9,22,0
64,L,301.5,312.2,1509,36.7,150,0
65,L,298.9,309.2,1498,24.2,57,0
66,L,299.1,308.1,1493,33.6,175,0
67,L,302.1,310.8,1103,33.7,242,0
68,M,299.2,309.1,1443,46.3,133,0
69,L,299.2,308.0,1665,44.2,106,0
70,H,302.3,311.2,1533,24.5,173,0
71,M,303.2,313.3,1307,36.1,86,0
72,L,301.3,310.3,1710,35.0,142,0
73,L,298.7,309.1,1484,59.5,0,0
74,M,299.0,310.5,1319,42.9,99,0
75,M,300.2,310.0,1932,29.2,230,1
76,M,300.6,310.8,1349,32.2,91,0
77,M,298.0,310.0,1695,36.2,201,0
78,L,301.4,310.3,1400,43.6,32,0
79,L,300.2,311.4,1562,44.8,109,1
80,L,296.6,307.6,1376,42.0,151,0
81,M,298.1,309.0,1316,37.9,69,0
82,M,299.0,310.3,1631,38.6,141,0
83,L,299.9,310.1,1610,38.7,245,0
84,L,303.8,313.2,1742,22.2,95,0
85,L,300.5,311.6,1531,39.4,82,0
86,L,298.3,309.5,1935,34.2,197,0
87,M,300.4,311.5,1586,23.5,83,0
88,M,299.3,309.3,1639,64.2,216,0
89,M,300.6,309.9,1294,43.1,124,0
90,L,301.2,311.4,1428,40.1,83,0
91,L,302.4,313.4,1631,36.3,165,0
92,M,300.0,311.0,1522,47.3,138,0
93,M,303.3,312.8,1571,28.4,252,0
94,L,301.8,312.1,1391,36.9,190,0
95,M,298.6,307.3,1559,30.5,159,0
96,L,304.4,315.4,1559,47.2,156,0
97,L,300.7,309.9,1326,31.7,29,0
98,L,298.3,309.1,1653,51.0,156,0
99,L,303.3,312.2,1233,39.0,85,0
100,L,304.2,315.2,1570,47.7,138,0
101,L,299.9,310.3,1854,44.0,176,0
102,M,299.0,308.2,1659,50.6,211,0
103,L,299.7,310.3,1658,30.6,104,0
104,L,301.4,310.8,1377,49.1,77,0
105,H,302.6,313.3,1854,21.4,218,1
106,L,301.1,310.9,1784,40.4,191,0
107,L,300.2,308.5,1386,34.5,121,0
108,M,303.0,312.0,1453,26.0,165,0
109,L,299.4,308.9,1762,31.1,187,0
110,L,302.1,313.4,1859,33.6,195,0
111,L,299.4,310.3,1311,38.0,134,0
112,L,300.9,312.5,1358,34.8,93,0
113,H,299.8,311.4,1512,40.8,73,0
114,M,299.9,309.4,1149,31.7,134,0
115,M,299.2,309.1,1541,35.2,4,0
116,M,302.7,312.3,1750,37.1,195,0
117,M,298.5,307.9,1280,41.8,46,0
118,L,298.5,306.7,1560,48.5,35,0
119,M,304.2,314.2,1433,48.5,142,0
120,L,302.0,310.7,1831,42.4,38,0
121,M,295.2,305.2,1436,44.3,37,0
122,M,298.9,311.0,1809,43.1,35,1
123,L,296.4,305.9,1431,36.9,114,0
124,L,298.1,308.3,1676,49.0,1,0
125,L,293.7,304.6,1583,30.9,14,0
126,L,299.7,310.0,1513,19.5,83,0
127,M,297.7,308.0,1396,29.6,54,0
128,M,300.1,309.8,1595,54.0,253,0
129,L,296.7,306.5,1459,37.0,225,1
130,L,300.2,309.2,1414,42.7,76,0
131,L,299.2,310.0,1801,37.3,187,0
132,L,303.0,311.3,1636,45.6,24,0
133,L,302.8,313.8,1653,40.7,13,0
134,L,301.6,310.2,1467,39.3,232,0
135,H,299.3,310.3,1504,46.1,239,0
136,L,304.0,313.6,1493,35.3,245,0
137,L,296.9,305.7,1598,43.7,136,0
138,M,297.2,307.8,1652,38.3,176,0
139,L,299.8,310.8,1532,38.9,117,0
140,H,304.5,314.1,1396,31.8,162,0
141,H,299.6,310.3,1674,37.8,213,0
142,L,299.6,307.3,1543,34.6,4,0
143,L,297.1,305.8,1280,51.3,235,0
144,L,301.9,313.2,1155,23.2,100,0
145,L,301.9,311.7,1591,48.9,205,0
146,L,301.6,309.7,1389,22.6,144,0
147,M,298.7,308.0,1615,45.4,253,0
148,L,298.6,307.7,1399,31.6,68,0
149,L,297.4,307.2,1561,45.7,204,0
150,L,300.2,309.8,1470,38.8,250,0
151,H,297.8,308.0,1851,25.7,53,0
152,L,297.6,307.6,1708,53.6,174,1
153,L,299.2,310.5,1779,47.8,222,0
154,L,299.0,309.4,1542,45.0,176,0
155,H,298.9,309.4,1685,33.6,73,0
156,L,300.9,312.1,1554,48.1,239,0
157,M,300.2,309.8,1801,27.2,252,0
158,M,299.4,308.2,1525,17.7,61,0
159,L,300.4,311.6,1287,24.4,150,0
160,M,298.0,308.2,1180,30.8,92,0
161,L,300.2,310.3,1836,32.5,15,0
162,M,300.3,309.7,1623,35.7,208,0
163,M,297.0,306.4,1635,36.1,134,0
164,L,302.0,312.8,1804,33.5,42,0
